name,rating,categories,address,zip_code,doordash_url,google_maps_url,embedding_text
Amazing Thai Cuisine,4.7,Restaurant,"5210 Roosevelt Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Amazing+Thai+Cuisine+98105,https://www.google.com/maps/place/?q=place_id:ChIJM0HMI2EUkFQRJNneprez444,"Amazing Thai Cuisine. Category: Restaurant. Located at 5210 Roosevelt Way Northeast, Seattle. Rated 4.7 stars."
Pho Than Brothers,4.1,Restaurant,"4207 University Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Pho+Than+Brothers+98105,https://www.google.com/maps/place/?q=place_id:ChIJ1yLVqPQUkFQRY3IAaNoLO5w,"Pho Than Brothers. Category: Restaurant. Located at 4207 University Way Northeast, Seattle. Rated 4.1 stars."
Costas Restaurant,4.1,Restaurant,"4559 University Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Costas+Restaurant+98105,https://www.google.com/maps/place/?q=place_id:ChIJjXQyiIoUkFQRg3itsYwv95c,"Costas Restaurant. Category: Restaurant. Located at 4559 University Way Northeast, Seattle. Rated 4.1 stars."
Memos Mexican Restaurant,3.7,Restaurant,"4743 University Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Memos+Mexican+Restaurant+98105,https://www.google.com/maps/place/?q=place_id:ChIJc--822EUkFQRnF-20QbYgiY,"Memos Mexican Restaurant. Category: Restaurant. Located at 4743 University Way Northeast, Seattle. Rated 3.7 stars."
Araya's Place,4.5,Restaurant,"5240 University Way Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Araya%27s+Place+98105,https://www.google.com/maps/place/?q=place_id:ChIJl91IMvUUkFQRVk8-Le3in1k,"Araya's Place. Category: Restaurant. Located at 5240 University Way Northeast, Seattle. Rated 4.5 stars."
Pasta & Co,4.0,"Cafe, Store","4622 26th Avenue Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Pasta+%26+Co+98105,https://www.google.com/maps/place/?q=place_id:ChIJr3mXF4YUkFQR6_nNmN7vXh4,"Pasta & Co. Category: Cafe, Store. Located at 4622 26th Avenue Northeast, Seattle. Rated 4 stars."
Ugly Mug Cafe,4.6,"Cafe, Store","1309 Northeast 43rd Street, Seattle",98105,https://www.doordash.com/store-search/?query=Ugly+Mug+Cafe+98105,https://www.google.com/maps/place/?q=place_id:ChIJwZGQzPQUkFQRRhd8D82mN_k,"Ugly Mug Cafe. Category: Cafe, Store. Located at 1309 Northeast 43rd Street, Seattle. Rated 4.6 stars."
Delfino's Chicago Style Pizza,4.3,Restaurant,"2631 Northeast University Village Street, Seattle",98105,https://www.doordash.com/store-search/?query=Delfino%27s+Chicago+Style+Pizza+98105,https://www.google.com/maps/place/?q=place_id:ChIJVbyUAoYUkFQRYlltMSIutU8,"Delfino's Chicago Style Pizza. Category: Restaurant. Located at 2631 Northeast University Village Street, Seattle. Rated 4.3 stars."
Bagel Oasis,3.9,"Bakery, Cafe, Store","2112 Northeast 65th Street, Seattle",98105,https://www.doordash.com/store-search/?query=Bagel+Oasis+98105,https://www.google.com/maps/place/?q=place_id:ChIJfQGOjXkUkFQRtD5RjUZgDdc,"Bagel Oasis. Category: Bakery, Cafe, Store. Located at 2112 Northeast 65th Street, Seattle. Rated 3.9 stars."
Wedgwood Broiler,4.2,Restaurant,"8230 35th Avenue Northeast, Seattle",98105,https://www.doordash.com/store-search/?query=Wedgwood+Broiler+98105,https://www.google.com/maps/place/?q=place_id:ChIJFcebRZITkFQRhOt-YyS3qzU,"Wedgwood Broiler. Category: Restaurant. Located at 8230 35th Avenue Northeast, Seattle. Rated 4.2 stars."
Einstein Bros. Bagels,3.9,"Bakery, Cafe, Store","2746 Northeast 45th Street, Seattle",98105,https://www.doordash.com/store-search/?query=Einstein+Bros.+Bagels+98105,https://www.google.com/maps/place/?q=place_id:ChIJLduCgoUUkFQReLE6NJsnatE,"Einstein Bros. Bagels. Category: Bakery, Cafe, Store. Located at 2746 Northeast 45th Street, Seattle. Rated 3.9 stars."
India Bistro,4.3,Restaurant,"6417 Roosevelt Way Northeast #106, Seattle",98105,https://www.doordash.com/store-search/?query=India+Bistro+98105,https://www.google.com/maps/place/?q=place_id:ChIJ93SKs28UkFQRUfhbbJXrztI,"India Bistro. Category: Restaurant. Located at 6417 Roosevelt Way Northeast #106, Seattle. Rated 4.3 stars."
