name,rating,categories,address,zip_code,embedding_text
Anita's New Mexico Style Mexican Food,4.0,Restaurant,"3444 Fairfax Dr Suite 4, Arlington",22201,"Anita's New Mexico Style Mexican Food. Category: Restaurant. Known for Restaurant dishes. Located at 3444 Fairfax Dr Suite 4, Arlington. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
DOS GENERACIONES RESTAURANT,4.0,Restaurant,"36 S Glebe Rd, Arlington",22201,"DOS GENERACIONES RESTAURANT. Category: Restaurant. Known for Restaurant dishes. Located at 36 S Glebe Rd, Arlington. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
Don Tito,4.0,Bar,"3165 Wilson Blvd, Arlington",22201,"Don Tito. Category: Bar. Known for Bar dishes. Located at 3165 Wilson Blvd, Arlington. Rated 4 stars. A popular spot for people craving Bar or similar foods."
Chicken & Steak Las Brasas,4.0,Restaurant,"4154 S Four Mile Run Dr, Arlington",22201,"Chicken & Steak Las Brasas. Category: Restaurant. Known for Restaurant dishes. Located at 4154 S Four Mile Run Dr, Arlington. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
La Paz Restaurant,3.9,Restaurant,"5900 Columbia Pike, Falls Church",22201,"La Paz Restaurant. Category: Restaurant. Known for Restaurant dishes. Located at 5900 Columbia Pike, Falls Church. Rated 3.9 stars. A popular spot for people craving Restaurant or similar foods."
Jarochita #2,3.7,Restaurant,"85 N Glebe Rd, Arlington",22201,"Jarochita #2. Category: Restaurant. Known for Restaurant dishes. Located at 85 N Glebe Rd, Arlington. Rated 3.7 stars. A popular spot for people craving Restaurant or similar foods."
Señora Lola Taquería,3.7,Restaurant,"3901 Mt Vernon Ave, Alexandria",22201,"Señora Lola Taquería. Category: Restaurant. Known for Restaurant dishes. Located at 3901 Mt Vernon Ave, Alexandria. Rated 3.7 stars. A popular spot for people craving Restaurant or similar foods."
El Centro D.F.,3.7,Restaurant,"4 Aviation Cir, Arlington",22201,"El Centro D.F.. Category: Restaurant. Known for Restaurant dishes. Located at 4 Aviation Cir, Arlington. Rated 3.7 stars. A popular spot for people craving Restaurant or similar foods."
Restaurante El Manantial LLC,3.6,Restaurant,"2618 N Pershing Dr, Arlington",22201,"Restaurante El Manantial LLC. Category: Restaurant. Known for Restaurant dishes. Located at 2618 N Pershing Dr, Arlington. Rated 3.6 stars. A popular spot for people craving Restaurant or similar foods."
Senor Saltena,0.0,Restaurant,"918 S Lincoln St #2, Arlington",22201,"Senor Saltena. Category: Restaurant. Known for Restaurant dishes. Located at 918 S Lincoln St #2, Arlington. Rated N/A stars. A popular spot for people craving Restaurant or similar foods."
