name,category,rating,address,zip_code,description,doordash_url
Ku Sushi and Izakaya,Sushi,4.2,5210 University Wy NE,98105,Sushi rated 4.2/5 located at 5210 University Wy NE (ZIP 98105).,https://www.doordash.com/store/ij-sushi-burrito-2391258/?srsltid=AfmBOopXle5M8LrZyWYSCDrQg7GGfjhEF-GtTpdQMXOBEcTy7dxQpKAu
Ivar's Fish Bar,Seafood,4.4,401 NE Northlake Way,98105,Seafood rated 4.4/5 located at 401 NE Northlake Way (ZIP 98105).,https://www.doordash.com/store/great-state-burger-seattle-77927/?srsltid=AfmBOoo2gnRjVK3rPIHLvdJRbgbgVTFkuqPbsCFq6hZZWEZA7sxqvAtO
Sip House - Seattle Vietnamese Coffee Shop,Coffee shop,4.4,5001 Brooklyn Ave NE,98105,Coffee shop rated 4.4/5 located at 5001 Brooklyn Ave NE (ZIP 98105).,https://www.doordash.com/business/mod-pizza-4494/?srsltid=AfmBOoo4Jr5ApQcuwd7DKjWc49eHcjeEecIG6htHeSBw-zRMXPIOJD2B
Jewel of India,Indian,4.4,4735 University Wy NE,98105,Indian rated 4.4/5 located at 4735 University Wy NE (ZIP 98105).,https://www.doordash.com/store/andalucia-restaurant-seattle-34448510/?srsltid=AfmBOopPs4cp7Fok58XtZZJYFV38_ZH16v0-dZ3GkrvBV3ruhrdUMnna
Elemental Pizza,Pizza,4.0,2634 NE University Village St,98105,Pizza rated 4.0/5 located at 2634 NE University Village St (ZIP 98105).,https://www.doordash.com/store/grab-n-go-mart-darley-33560313/?srsltid=AfmBOopNR67IuykEdFghnZlVqb3OQ1Ii9OsGJwA1JKfMUdZI8QtzSRdv
FOMO Cafe,Coffee shop,4.1,5600 Roosevelt Way NE #101,98105,Coffee shop rated 4.1/5 located at 5600 Roosevelt Way NE #101 (ZIP 98105).,https://www.doordash.com/store/the-george-sarasota-2815560/?srsltid=AfmBOoorE0SVWs8x41DcSOfbA_4O0jXp2ZaadIiQTDKXI6DRdggQdKuO
Toshi's Teriyaki,Japanese,4.1,3715 NE 45th St,98105,Japanese rated 4.1/5 located at 3715 NE 45th St (ZIP 98105).,https://www.doordash.com/business/einstein-bros-bagels-341674/?srsltid=AfmBOoo59ewDGD6uaelm1Q4BPW57qqepDxoPv3P0XMFhZPCZPKXE5ZdN
Lark Restaurant,New American,4.4,952 E Seneca St,98105,New American rated 4.4/5 located at 952 E Seneca St (ZIP 98105).,https://www.doordash.com/products/mei-xin-musang-king-d24-mini-mooncake-30-g-x-4-ct/urpc_b71032b3-9eb2-4f90-92e9-1ff53f447501?srsltid=AfmBOopElwn2glC56eKNWVnbb6SabwcU2D1aDljEe3puYbuHFDUaDH67
Poke Bay,Sushi,4.1,4215 University Wy NE,98105,Sushi rated 4.1/5 located at 4215 University Wy NE (ZIP 98105).,https://www.doordash.com/store/papa-johns-pizza-new-york-188396/?srsltid=AfmBOooEKmPye5NsV0sHbQB5Kof33PxxFpbqbAakOG_4CiNLVAkPW1hC
Mr. Gyros,Mediterranean,4.5,256 NE 45th St,98105,Mediterranean rated 4.5/5 located at 256 NE 45th St (ZIP 98105).,https://www.doordash.com/business/mcdonalds-5579/?srsltid=AfmBOoqwLiwi11czH85Ewjy1HG03yYSgkeCpOohQ1sWlpV43jm4mud4U
Kitanda Espresso and Acai - University District,Coffee shop,4.5,1121 NE 45th St,98105,Coffee shop rated 4.5/5 located at 1121 NE 45th St (ZIP 98105).,https://www.doordash.com/en-CA/store/starbucks-halifax-24711564/?srsltid=AfmBOopaoSM0ciIFamM3PV_drM8d8Gdd-oWESlc_mBom6FyMvw49jEAE
My Favorite Deli,Deli,4.3,1301 NE 45th St,98105,Deli rated 4.3/5 located at 1301 NE 45th St (ZIP 98105).,https://www.doordash.com/store/dominos-houston-34034010/?srsltid=AfmBOop75SGJxBFOt82N0j2bqApcn-ysoRHiY55CIuEPhTLetm4K0Ksz
Chipotle Mexican Grill,Mexican,3.4,4229 University Wy NE,98105,Mexican rated 3.4/5 located at 4229 University Wy NE (ZIP 98105).,https://www.doordash.com/en-GB/near-me/category/all-hands-on-microsoft/?srsltid=AfmBOooRgsNbcwYe1ZT7OvYALPQ4i2oOfvkDuVDxRzBQN-YrRrRbjs4c
Queen Mary Tea Room & Restaurant,Tea house,4.5,2912 NE 55th St,98105,Tea house rated 4.5/5 located at 2912 NE 55th St (ZIP 98105).,https://www.doordash.com/store/lin-handmade-dumplings-&-noodles-seattle-27949375/?srsltid=AfmBOooyoTFIMFbeZjcGZKtgOqf740EDNVpV52mko9sufTbBfurLPvr7
